id;client_name;phone;email
2;OdooBot;Null;odoobot@example.com
13;Manuelita;618935741;Manuelita@company.net
14;Julian;Null;Null
19;Tel;Null;Null
23;Telebistas Patxi;Null;Null
25;MediaMarkt;Null;Null
27;Tekniker;Null;Null
7;Administrator;Null;admin@example.com
29;Mercadona;Null;Null
4;Public user;Null;Null
17;Hungzhao Electronics;Null;Null
1;Euskal Commerce;112;telebistaspatxi@uni.eus
5;Default User Template;Null;Null
24;Carrefour;Null;Null
26;Muebles Manoli;Null;Null
28;CodeSyntax;Null;Null
6;Portal User Template;Null;Null
3;Administrator;Null;telebistaspatxi@uni.eus
61;Juan Antonio Arias;946 258 741;Arais.Juan@eucom.eu
12;Hola Cliente;Null;Null
18;Shingzhe Furniture;Null;Null
39;Julio Mora;Null;mora.julio@eucom.eu
60;Jordi Garcia;Null;garcia.jordi@eucom.eu
41;Guillermo  Vidal;Null;vidal.guillermo@eucom.eu
30;Juan Antonio Arias;Null;Arais.Juan@eucom.eu
31;Felix Dominguez;Null;dominguez.felix@eucom.eu
32;Alejandro Saez;Null;987 156 325
33;Rosario Vega;Null;vega.rosario@eucom.eu
35;César Vega;Null;vega.cesar@eucom.eu
36;Julia Carmona;Null;carmona.julia@eucom.eu
37;Montserrat Gallardo;Null;gallardo.montse@eucom.eu
43;Jaime Suarez;Null;suarez.jaime@eucom.eu
44;Amparo Calvo;Null;calvo.amparo@eucom.eu
45;Alberto Romero;Null;romero.alberto@eucom.eu
48;Cristina Romero;Null;romero.cristina@eucom.eu
49;Agustin Sanchez;Null;sanchez.agustin@eucom.eu
50;Jordi Garcia;Null;garcia.jordi@eucom.eu
52;Lidia Serrano;Null;serrano.lidia@eucom.eu
53;Agustin Sanchez;956 825 798;sanchez.agustin@eucom.eu
34;Sebastian Nuñez;Null;nuñez.sebastian@eucom.eu
38;Rosa Suarez;Null;suarez.rosa@eucom.eu
54;Cristina Romero;Null;romero.cristina@eucom.eu
40;Rodrigo Ramirez;Null;ramirez.rodrigo@eucom.eu
42;Lidia Ortiz;Null;ortiz.lidia@eucom.eu
46;Jose Miguel Rojas;Null;Null
55;César Vega;Null;vega.cesar@eucom.eu
70;Sebastian Nuñez;948 562 123;Null
67;Montserrat Gallardo;Null;gallardo.montse@eucom.eu
58;Guillermo  Vidal;948 789 632;vidal.guillermo@eucom.eu
57;Felix Dominguez;946 258 321;dominguez.felix@eucom.eu
47;Lidia Fuentes;Null;fuentes.lidia@eucom.eu
51;Felipe Hidalgo;Null;hidalgo.felipe@eucom.eu
8;Samuel Melika;Null;Melikasamuel@tbpatxi.net
9;Irune Ramos;Null;Ramosirune@tbpatxi.net
11;Iñaki Conde;Null;Condeinaki@tbpatxi.net
10;Antonio Machado;Null;Machadoantonio@tbpatxi.net
59;Jaime Suarez;946 20 5698;suarez.jaime@eucom.eu
63;Julio Mora;Null;mora.julio@eucom.eu
64;Lidia Fuentes;963 852 741;fuentes.lidia@eucom.eu
66;Lidia Serrano;Null;serrano.lidia@eucom.eu
68;Rodrigo Ramirez;Null;ramirez.rodrigo@eucom.eu
69;Rosa Suarez;948 254 456;suarez.rosa@eucom.eu
71;Welcome Bot;Null;Null
72;Lead Generation Bot;Null;Null
65;Lidia Ortiz;Null;ortiz.lidia@eucom.eu
56;Felipe Hidalgo;946 826 316;hidalgo.felipe@eucom.eu
62;Julia Carmona;Null;carmona.julia@eucom.eu
73;Lunch Supplier;Null;Null
