id;name;phone;login
3;Null;Null;Nulldefault
57;julen;69545642;julen.herrero@uni.eusjulenLogin
5;Null;Null;Nullportaltemplate
4;Null;Null;Nullpublic
1;Null;Null;Null__system__
14;Null;Null;Nulldominguez.felix@eucom.eu
20;Null;Null;Nullmora.julio@eucom.eu
2;Null;Null;Nulltelebistaspatxi@uni.eus
785;topo;666666;putodefenderespaña@cayeborroka.computodefenderespaña@cayeborroka.com
905;El fari;66666687;elfari@comer.limoneselfari@comer.limones
22;Null;Null;Nullortiz.lidia@eucom.eu
12;Null;Null;Nullvega.cesar@eucom.eu
24;Null;Null;Nullgallardo.montse@eucom.eu
18;Null;Null;NullArais.Juan@eucom.eu
26;Null;Null;Nullsuarez.rosa@eucom.eu
16;Null;Null;Nullsuarez.jaime@eucom.eu
23;Null;Null;Nullserrano.lidia@eucom.eu
19;Null;Null;Nullcarmona.julia@eucom.eu
13;Null;Null;Nullhidalgo.felipe@eucom.eu
25;Null;Null;Nullramirez.rodrigo@eucom.eu
15;Null;Null;Nullvidal.guillermo@eucom.eu
27;Null;Null;Nullnuñez.sebastian@eucom.eu
21;Null;Null;Nullfuentes.lidia@eucom.eu
17;Null;Null;Nullgarcia.jordi@eucom.eu
10;Null;Null;Nullsanchez.agustin@eucom.eu
11;Null;Null;Nullromero.cristina@eucom.eu
